,Name,Year,Rating,Meter_Score,Difference,Actual_Difference
0,Annihilation,2018,4.0,4.4,0.40000000000000036,-0.40000000000000036
1,Parasite,2019,4.5,,,
2,The Cabin in the Woods,2011,3.5,4.6,1.0999999999999996,-1.0999999999999996
3,Event Horizon,1997,1.5,1.45,0.050000000000000044,0.050000000000000044
4,The Lighthouse,2019,4.0,3.55,0.4500000000000002,0.4500000000000002
5,Her,2013,5.0,,,
6,Re-Animator,1985,3.0,4.65,1.6500000000000004,-1.6500000000000004
7,Django Unchained,2012,4.5,4.35,0.15000000000000036,0.15000000000000036
8,The Matrix,1999,4.0,4.4,0.40000000000000036,-0.40000000000000036
9,The Descent,2005,4.0,4.3,0.2999999999999998,-0.2999999999999998
10,Inception,2010,3.5,4.35,0.8499999999999996,-0.8499999999999996
11,Uncut Gems,2019,4.5,4.55,0.04999999999999982,-0.04999999999999982
12,The Death of Stalin,2017,4.0,4.75,0.75,-0.75
13,Twin Peaks,1989,3.0,,,
14,Straight Up,2019,3.5,4.65,1.1500000000000004,-1.1500000000000004
15,Good Time,2017,3.5,4.6,1.0999999999999996,-1.0999999999999996
16,The Lord of the Rings: The Fellowship of the Ring,2001,5.0,4.55,0.4500000000000002,0.4500000000000002
17,The Lord of the Rings: The Two Towers,2002,4.5,4.75,0.25,-0.25
18,The Lord of the Rings: The Return of the King,2003,5.0,4.65,0.34999999999999964,0.34999999999999964
19,Palm Springs,2020,4.0,4.75,0.75,-0.75
20,A Silent Voice,2016,3.0,,,
21,Your Name.,2016,4.0,,,
