Date,Name,Year,Letterboxd URI,Rating
2020-08-16,Straight Up,2019,https://boxd.it/mhGQ,5
2020-08-16,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,5
2020-08-16,World of Tomorrow,2015,https://boxd.it/9Gr6,5
2020-08-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2020-08-16,The Truman Show,1998,https://boxd.it/18U8,4
2020-08-16,Eighth Grade,2018,https://boxd.it/hDMG,4
2020-08-16,The Half of It,2020,https://boxd.it/m0T4,5
2020-08-16,Being John Malkovich,1999,https://boxd.it/2ahu,5
2020-08-16,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4
2020-08-16,The Lorax,2012,https://boxd.it/2w9M,3.5
2020-08-16,The One I Love,2014,https://boxd.it/77gy,4
2020-08-16,Duck Butter,2018,https://boxd.it/i0PS,5
2020-08-22,Lady Bird,2017,https://boxd.it/dGNE,4.5
2020-11-27,"Everything, Everything",2017,https://boxd.it/eKx8,3.5
2020-11-27,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,5
2021-01-07,Skate Kitchen,2018,https://boxd.it/hI3Q,5
2021-01-14,Kajillionaire,2020,https://boxd.it/jJDY,5
2021-01-14,Juno,2007,https://boxd.it/210a,4
2021-04-04,Promising Young Woman,2020,https://boxd.it/loRE,5
2021-04-13,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2021-04-24,Sorry to Bother You,2018,https://boxd.it/f21E,4
2021-04-24,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2021-04-24,Happiest Season,2020,https://boxd.it/iS3I,3.5
2021-05-09,Symbiopsychotaxiplasm: Take One,1968,https://boxd.it/R6q,5
2021-05-10,I Care a Lot,2020,https://boxd.it/mcHk,3
2021-05-10,Boys State,2020,https://boxd.it/oiNW,3.5
2021-06-03,The Social Network,2010,https://boxd.it/17ue,2.5
2021-06-24,Scare Me,2020,https://boxd.it/oimc,4
2021-06-24,The Reliant,2019,https://boxd.it/lRPM,2
2021-06-24,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-06-25,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.5
2021-06-27,Hereditary,2018,https://boxd.it/hNVe,4
