Date,Name,Year,Letterboxd URI,Rating
2021-04-24,Sorry to Bother You,2018,https://boxd.it/f21E,4
2021-04-24,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2021-04-24,Happiest Season,2020,https://boxd.it/iS3I,3.5
2021-05-09,Symbiopsychotaxiplasm: Take One,1968,https://boxd.it/R6q,5
2021-05-10,I Care a Lot,2020,https://boxd.it/mcHk,3
2021-05-10,Boys State,2020,https://boxd.it/oiNW,3.5
2021-06-03,The Social Network,2010,https://boxd.it/17ue,2.5
2021-06-24,Scare Me,2020,https://boxd.it/oimc,4
2021-06-24,The Reliant,2019,https://boxd.it/lRPM,2
2021-06-24,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-06-27,Hereditary,2018,https://boxd.it/hNVe,4
2021-06-25,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.5
