,Name,Year,Rating,Meter_Score,Difference,Actual_Difference
0,Straight Up,2019,5.0,4.65,0.34999999999999964,0.34999999999999964
1,It's Such a Beautiful Day,2012,5.0,5.0,0.0,0.0
2,World of Tomorrow,2015,5.0,5.0,0.0,0.0
3,Eternal Sunshine of the Spotless Mind,2004,4.0,4.6,0.5999999999999996,-0.5999999999999996
4,The Truman Show,1998,4.0,4.75,0.75,-0.75
5,Eighth Grade,2018,4.0,4.95,0.9500000000000002,-0.9500000000000002
6,The Half of It,2020,5.0,4.85,0.15000000000000036,0.15000000000000036
7,Being John Malkovich,1999,5.0,4.7,0.2999999999999998,0.2999999999999998
8,Portrait of a Lady on Fire,2019,4.0,,,
9,The Lorax,2012,3.5,,,
10,The One I Love,2014,4.0,4.1,0.09999999999999964,-0.09999999999999964
11,Duck Butter,2018,5.0,2.85,2.15,2.15
12,Lady Bird,2017,4.5,4.95,0.4500000000000002,-0.4500000000000002
13,"Everything, Everything",2017,3.5,2.25,1.25,1.25
14,I'm Thinking of Ending Things,2020,5.0,4.1,0.9000000000000004,0.9000000000000004
15,Skate Kitchen,2018,5.0,4.45,0.5499999999999998,0.5499999999999998
16,Kajillionaire,2020,5.0,4.5,0.5,0.5
17,Juno,2007,4.0,4.7,0.7000000000000002,-0.7000000000000002
18,Promising Young Woman,2020,5.0,4.5,0.5,0.5
19,Little Miss Sunshine,2006,5.0,4.55,0.4500000000000002,0.4500000000000002
20,Sorry to Bother You,2018,4.0,4.65,0.6500000000000004,-0.6500000000000004
21,Ingrid Goes West,2017,3.5,4.3,0.7999999999999998,-0.7999999999999998
22,Happiest Season,2020,3.5,4.1,0.5999999999999996,-0.5999999999999996
23,Symbiopsychotaxiplasm: Take One,1968,5.0,4.4,0.5999999999999996,0.5999999999999996
24,I Care a Lot,2020,3.0,3.9,0.8999999999999999,-0.8999999999999999
25,Boys State,2020,3.5,4.7,1.2000000000000002,-1.2000000000000002
26,The Social Network,2010,2.5,4.8,2.3,-2.3
27,Scare Me,2020,4.0,4.1,0.09999999999999964,-0.09999999999999964
28,The Reliant,2019,2.0,,,
29,Knives Out,2019,4.5,4.85,0.34999999999999964,-0.34999999999999964
30,Bo Burnham: Inside,2021,4.5,4.7,0.20000000000000018,-0.20000000000000018
31,Hereditary,2018,4.0,4.45,0.4500000000000002,-0.4500000000000002
